TYPE,SITE_ID,SITE_PID,SITE_TYPE,NAME_ENG,NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,REALM,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,GOVSUBTYPE,OWN_TYPE,OWNSUBTYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,PRNT_ISO3,ISO3,SUPP_INFO,CONS_OBJ,INLND_WTRS,OECM_ASMT
Polygon,555587147,555587147,PA,Cordon del Plata,Cordon del Plata,Parque Provincial,Provincial Park,National,II,Not Applicable,Terrestrial,0,0,1755,1759.56189327176,Not Applicable,0,Designated,2011,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587148,555587148,PA,Castillos de Pincheira,Castillos de Pincheira,Reserva de Paisaje Protegido,Protected Landscape Reserve,National,V,Not Applicable,Terrestrial,0,0,6.5,4.68897566404837,Not Applicable,0,Designated,1999,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587149,555587149,PA,Puente del Inca,Puente del Inca,Monumento Natural,Nature Monument,National,III,Not Applicable,Terrestrial,0,0,5,5.48867135446558,Not Applicable,0,Designated,1991,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587150,555587150,PA,Centro Biologico Pilaga - Zoo,Centro Biologico Pilaga - Zoo,Reserva Provincial,Provincial Reserve,National,VI,Not Applicable,Terrestrial,0,0,1.5,5.95694173347208,Not Applicable,0,Designated,1969,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587151,555587151,PA,Laguna La Salina,Laguna La Salina,Reserva Natural,Nature Reserve,National,VI,Not Applicable,Terrestrial,0,0,35,36.8723621300702,Not Applicable,0,Designated,1999,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587152,555587152,PA,Lote 11 Ñacuñan,Lote 11 Ñacuñan,Reserva Forestal,Forest Reserve,National,Not Reported,Not Applicable,Terrestrial,0,0,76.82,77.5821996440951,Not Applicable,0,Designated,1961,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587153,555587153,PA,Lote 9 Ñacuñan,Lote 9 Ñacuñan,Reserva Forestal,Forest Reserve,National,Not Reported,Not Applicable,Terrestrial,0,0,195.6,152.452659197669,Not Applicable,0,Designated,1961,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587154,555587154,PA,Presidente Sarmiento,Presidente Sarmiento,Parque Provincial,Provincial Park,National,II,Not Applicable,Terrestrial,0,0,7.48,9.19519925818523,Not Applicable,0,Designated,2005,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587155,555587155,PA,Afloramiento Limoso,Afloramiento Limoso,Paisaje Protegido,Protected Landscape,National,V,Not Applicable,Terrestrial,0,0,12,6.55055208762124,Not Applicable,0,Designated,2002,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587156,555587156,PA,Loma de las Tapias,Loma de las Tapias,Parque Natural,Nature Park,National,V,Not Applicable,Terrestrial,0,0,50,55.8160820148711,Not Applicable,0,Designated,2002,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587157,555587157,PA,Valle Cretacico,Valle Cretacico,Paisaje Protegido,Protected Landscape,National,V,Not Applicable,Terrestrial,0,0,2410.99,2407.30252261579,Not Applicable,0,Designated,1993,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587158,555587158,PA,Bosque Petrificado Valcheta,Bosque Petrificado Valcheta,Monumento Natural,Nature Monument,National,VI,Not Applicable,Terrestrial,0,0,1.66,1.64117902356131,Not Applicable,0,Designated,2002,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587159,555587159,PA,Loro Hablador,Loro Hablador,Reserva Provincial,Provincial Reserve,National,IV,Not Applicable,Terrestrial,0,0,175,190.861778238386,Not Applicable,0,Designated,1998,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587160,555587160,PA,Isla de Las Damas,Isla de Las Damas,Reserva Natural Municipal,Municipal Nature Reserve,National,VI,Not Applicable,Terrestrial,0,0,22,15.0630371380903,Not Applicable,0,Designated,2006,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587161,555587161,PA,Isla Del Cerrito,Isla Del Cerrito,Parque Provincial,Provincial Park,National,IV,Not Applicable,Terrestrial,0,0,116.4,109.11942741701,Not Applicable,0,Designated,2004,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587162,555587162,PA,San Guillermo,San Guillermo,Parque Provincial,Provincial Park,National,II,Not Applicable,Terrestrial,0,0,8114.6,9458.61523274869,Not Applicable,0,Designated,1972,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587163,555587163,PA,Los Diques,Los Diques,Reserva Provincial,Provincial Reserve,National,VI,Not Applicable,Terrestrial,0,0,265.5,216.132142199719,Not Applicable,0,Designated,1983,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,555587165,555587165,PA,Lotes 1703-1704-4325-4326-4336-19866,Lotes 1703-1704-4325-4326-4336-19866,Reserva de Uso Múltiple,Multiple Use Reserve,National,VI,Not Applicable,Terrestrial,0,0,250.31,253.523744370773,Not Applicable,0,Designated,2004,Not Reported,Not Applicable,Not Reported,Not Applicable,Not Reported,Not Reported,State Verified,1852,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
